X,Y,OBJECTID,PROJECT_NA,AV_ADD,TOOLTIP,NLA_URL
-118.372609137007,34.162042178198,834,11045 hesby street apts,11045 HESBY ST.,Project Name: 11045 hesby street apts\nAddress: 11045 HESBY ST.,navigatela/reports/affordable_housing.cfm?pk=834
-118.281932588085,34.0324066139587,835,2332 S. Portland Street,2332 S. PORTLAND STREET,Project Name: 2332 S. Portland Street\nAddress: 2332 S. PORTLAND STREET,navigatela/reports/affordable_housing.cfm?pk=835
-118.234308529842,34.0358545421361,836,"L A Contemporary Exhibit, Inc.",1804 E. INDUSTRIAL ST.,"Project Name: L A Contemporary Exhibit, Inc.\nAddress: 1804 E. INDUSTRIAL ST.",navigatela/reports/affordable_housing.cfm?pk=836
-118.418704947838,34.247470055344,837,L'Canon Club Apts-Osborne,13130 W. OSBORNE ST.,Project Name: L'Canon Club Apts-Osborne\nAddress: 13130 W. OSBORNE ST.,navigatela/reports/affordable_housing.cfm?pk=837
-118.237919271963,34.0652061467206,838,932 MEI LING WAY APTS,932 N. MEI LING WAY,Project Name: 932 MEI LING WAY APTS\nAddress: 932 N. MEI LING WAY,navigatela/reports/affordable_housing.cfm?pk=838
-118.209986208774,34.0457244821395,839,L.A. Family Housing Corp.,207 N. BREED ST.,Project Name: L.A. Family Housing Corp.\nAddress: 207 N. BREED ST.,navigatela/reports/affordable_housing.cfm?pk=839
-118.209365804856,34.0443365015667,840,147 N. Soto Street,147 N. SOTO ST.,Project Name: 147 N. Soto Street\nAddress: 147 N. SOTO ST.,navigatela/reports/affordable_housing.cfm?pk=840
-118.243421597664,34.041136065435,841,La Jolla Hotel,721 E. 6TH STREET,Project Name: La Jolla Hotel\nAddress: 721 E. 6TH STREET,navigatela/reports/affordable_housing.cfm?pk=841
-118.302405857387,34.0390268833704,842,1953 La Salle Apts,1953 LA SALLE AVE.,Project Name: 1953 La Salle Apts\nAddress: 1953 LA SALLE AVE.,navigatela/reports/affordable_housing.cfm?pk=842
-118.301193193754,34.0255233218905,843,La Villa Hermosa,1530 - 1628 W. JEFFERSON BLVD.,Project Name: La Villa Hermosa\nAddress: 1530 - 1628 W. JEFFERSON BLVD.,navigatela/reports/affordable_housing.cfm?pk=843
